melid,filename_sv,filename_solo,solotime,solostart_sec,status,trackid
49,CannonballAdderley_StarEyes_FINAL.sv,CannonballAdderley_StarEyes_Solo,02:44-04:13,160.7921,FINAL,44
50,CannonballAdderley_ThisHere_FINAL.sv,CannonballAdderley_ThisHere_Solo,02:38-05:25,154.9301,FINAL,45
51,CannonballAdderley_WorkSong_FINAL.sv,CannonballAdderley_WorkSong_Solo,00:49-02:27,47.8078,FINAL,46
52,CharlieParker_Billie'sBounce_FINAL.sv,CharlieParker_Billie'sBounce_Solo,00:41-01:54,40.0839,FINAL,47
53,CharlieParker_BluesForAlice_FINAL.sv,CharlieParker_BluesForAlice_Solo,,18.4873,FINAL,48
54,CharlieParker_Don'tBlameMe_FINAL.sv,CharlieParker_Don'tBlameMe_Solo,,9.3978,FINAL,49
55,CharlieParker_DonnaLee_FINAL.sv,CharlieParker_DonnaLee_Solo,00:33-1:44,32.5544,FINAL,50
56,CharlieParker_EmbraceableYou_FINAL.sv,CharlieParker_EmbraceableYou_Solo,,8.6147,FINAL,51
57,CharlieParker_HowDeepIsTheOcean_FINAL.sv,CharlieParker_HowDeepIsTheOcean_Solo,00:11-02:01,8.538,FINAL,52
58,CharlieParker_K.C.Blues_FINAL.sv,CharlieParker_K.C.Blues_Solo,,26.4451,FINAL,53
59,CharlieParker_Ko-Ko_FINAL.sv,CharlieParker_Ko-Ko_Solo,00:36-01:45,21.9313,FINAL,54
60,CharlieParker_MyLittleSuedeShoes_FINAL.sv,CharlieParker_MyLittleSuedeShoes_Solo,,60.2566,FINAL,55
61,CharlieParker_Ornithology_FINAL.sv,CharlieParker_Ornithology_Solo,00:39-01:15,37.0151,FINAL,56
62,CharlieParker_OutOfNowhere_FINAL.sv,CharlieParker_OutOfNowhere_Solo,00:13-02:08,11.5882,FINAL,57
63,CharlieParker_ScrappleFromTheApple_FINAL.sv,CharlieParker_ScrappleFromTheApple_Solo,00:49-01:28,25.1796,FINAL,58
64,CharlieParker_Segment_FINAL.sv,CharlieParker_Segment_Solo,,45.7241,FINAL,59
65,CharlieParker_StarEyes_FINAL.sv,CharlieParker_StarEyes_Solo,,31.6898,FINAL,60
66,CharlieParker_Steeplechase_FINAL.sv,CharlieParker_Steeplechase_Solo,,45.7241,FINAL,61
67,CharlieParker_ThrivingOnARiff_FINAL.sv,CharlieParker_ThrivingOnARiff_Solo,00:38-01:47,34.9082,FINAL,62
68,CharlieParker_YardbirdSuite_FINAL.sv,CharlieParker_YardbirdSuite_Solo,00:45-01:23,39.8882,FINAL,63
69,CharlieShavers_LimehouseBlues_FINAL.sv,CharlieShavers_LimehouseBlues_Solo,01:35-02:04,91.0218,FINAL,64
70,ChetBaker_IFallInLoveTooEasily_FINAL.sv,ChetBaker_IFallInLoveTooEasily_Solo,00:56-01:56,54.3224,FINAL,65
71,ChetBaker_JustFriends_FINAL.sv,ChetBaker_JustFriends_Solo,00:55-01:47,52.3955,FINAL,66
72,ChetBaker_Let'sGetLost_FINAL.sv,ChetBaker_Let'sGetLost_Solo,01:54-02:42,112.0924,FINAL,67
73,ChetBaker_LongAgoAndFarAway_FINAL.sv,ChetBaker_LongAgoAndFarAway_Solo,00:52-01:38,50.5423,FINAL,68
74,ChetBaker_ThereWillNeverBeAnotherYou-1_FINAL.sv,ChetBaker_ThereWillNeverBeAnotherYou-1_Solo,00:00-01:02,0.0459,FINAL,69
75,ChetBaker_ThereWillNeverBeAnotherYou-2_FINAL.sv,ChetBaker_ThereWillNeverBeAnotherYou-2_Solo,01:48-02:22,104.8711,FINAL,69
76,ChetBaker_Two'sBlues_FINAL.sv,ChetBaker_Two'sBlues_Solo,00:29-01:29,23.8983,FINAL,70
77,ChetBaker_You'dBeSoNiceToComeHomeTo_FINAL.sv,ChetBaker_You'dBeSoNiceToComeHomeTo_Solo,02:56-04:04,169.0878,FINAL,71
78,ChrisPotter_Anthropology_FINAL.sv,ChrisPotter_Anthropology_Solo,,27.8279,FINAL,72
79,ChrisPotter_Arjuna_FINAL.sv,ChrisPotter_Arjuna_Solo,,384.9561,FINAL,73
80,ChrisPotter_InASentimentalMood_FINAL.sv,ChrisPotter_InASentimentalMood_Solo,,304.3627,FINAL,74
81,"ChrisPotter_Item1,D.I.T._FINAL.sv","ChrisPotter_Item1,D.I.T._Solo",,43.9118,FINAL,75
82,ChrisPotter_PopTune#1_FINAL.sv,ChrisPotter_PopTune#1_Solo,,478.1283,FINAL,76
83,ChrisPotter_Rumples_FINAL.sv,ChrisPotter_Rumples_Solo,,236.7451,FINAL,77
84,ChrisPotter_Togo_FINAL.sv,ChrisPotter_Togo_Solo,,480.8621,FINAL,78
85,ChuBerry_BodyAndSoul-1_FINAL.sv,ChuBerry_BodyAndSoul-1_Solo,00:13-01:44,0.0,FINAL,79
86,ChuBerry_BodyAndSoul-2_FINAL.sv,ChuBerry_BodyAndSoul-2_Solo,03:00-03:35,179.1588,FINAL,79
87,CliffordBrown_ANightInTunisia_FINAL.sv,CliffordBrown_ANightInTunisia_Solo,,184.5191,FINAL,80
88,CliffordBrown_Daahoud_FINAL.sv,CliffordBrown_Daahoud_Solo,00:38-01:42,34.0182,FINAL,81
89,CliffordBrown_George'sDilemma_FINAL.sv,CliffordBrown_George'sDilemma_Solo,01:09-02:50,67.0437,FINAL,82
90,CliffordBrown_I'llRememberApril_AlternateTake2_FINAL.sv,CliffordBrown_I'llRememberApril_AlternateTake2_Solo,02:08-03:29,123.9231,FINAL,83
91,CliffordBrown_I'llRememberApril_FINAL.sv,CliffordBrown_I'llRememberApril_Solo,01:41-03:03,98.6698,FINAL,84
92,CliffordBrown_Jordu_FINAL.sv,CliffordBrown_Jordu_Solo,00:57-02:48,53.0655,FINAL,85
93,CliffordBrown_JoySpring_FINAL.sv,CliffordBrown_JoySpring_Solo,01:46-03:20,102.6678,FINAL,86
94,CliffordBrown_Sandu_FINAL.sv,CliffordBrown_Sandu_Solo,00:39-01:25,38.3856,FINAL,87
95,CliffordBrown_Stompin'AtTheSavoy_FINAL.sv,CliffordBrown_Stompin'AtTheSavoy_Solo,02:27-04:01,142.6377,FINAL,88
96,ColemanHawkins_BodyAndSoul_FINAL.sv,ColemanHawkins_BodyAndSoul_Solo,00:05-02:55,0.1279,FINAL,89
97,ColemanHawkins_It'sOnlyAPapermoon_FINAL.sv,ColemanHawkins_It'sOnlyAPapermoon_Solo,01:04-02:02,55.8355,FINAL,90
98,ColemanHawkins_MyBlueHeaven_FINAL.sv,ColemanHawkins_MyBlueHeaven_Solo,00:58-01:58,53.8789,FINAL,91
99,ColemanHawkins_Perdido_FINAL.sv,ColemanHawkins_Perdido_Solo,00:51-02:21,46.7374,FINAL,92
100,ColemanHawkins_SophisticatedLady_FINAL.sv,ColemanHawkins_SophisticatedLady_Solo,00:13-03:07,4.3468,FINAL,93
101,ColemanHawkins_Stompin'AtTheSavoy_FINAL.sv,ColemanHawkins_Stompin'AtTheSavoy_Solo,00:37-01:41,36.0058,FINAL,94
102,CurtisFuller_BlueTrain_FINAL.sv,CurtisFuller_BlueTrain_Solo,05:13-07:04,310.8618,FINAL,95
103,CurtisFuller_DownUnder_FINAL.sv,CurtisFuller_DownUnder_Solo,02:23-03:05,140.9393,FINAL,96
104,DavidLiebman_BeginTheBeguine_FINAL.sv,DavidLiebman_BeginTheBeguine_Solo,02:44 -05:17,152.7145,FINAL,97
105,DavidLiebman_Day&Nite_FINAL.sv,DavidLiebman_Day&Nite_Solo,00:48-03:57,43.0042,FINAL,98
106,DavidLiebman_I'veGotYouUnderMySkin_FINAL.sv,DavidLiebman_I'veGotYouUnderMySkin_Solo,01:11-03:46,65.3771,FINAL,99
107,DavidLiebman_Milestones_FINAL.sv,DavidLiebman_Milestones_Solo,02:13-03:48,126.5904,FINAL,100
108,DavidLiebman_Nica'sDream_FINAL.sv,DavidLiebman_Nica'sDream_Solo,01:57-03:37,112.6433,FINAL,101
109,DavidLiebman_NoGreaterLove_FINAL.sv,DavidLiebman_NoGreaterLove_Solo,00:40-01:53,35.4049,FINAL,102
110,DavidLiebman_Pablo'sStory_FINAL.sv,DavidLiebman_Pablo'sStory_Solo,03:07-06:11,183.5463,FINAL,103
111,DavidLiebman_Pendulum_FINAL.sv,DavidLiebman_Pendulum_Solo,01:12-03:31,69.3608,FINAL,104
112,DavidLiebman_SecretLove_FINAL.sv,DavidLiebman_SecretLove_Solo,01:18-03:26,73.9222,FINAL,105
113,DavidLiebman_SoftlyAsInAMorningSunrise_FINAL.sv,DavidLiebman_SoftlyAsInAMorningSunrise_Solo,00:47-4:21,42.9365,FINAL,106
114,DavidLiebman_ThereWillNeverBeAnotherYou_FINAL.sv,DavidLiebman_ThereWillNeverBeAnotherYou_Solo,01.03-03.34,58.7161,FINAL,107
115,DavidMurray_AskMeNow_FINAL.sv,DavidMurray_AskMeNow_Solo,02:43-03:42,160.5105,FINAL,108
116,DavidMurray_BluesForTwo-1_FINAL.sv,DavidMurray_BluesForTwo-1_Solo,00:17-05:54,9.0954,FINAL,109
117,DavidMurray_BluesForTwo-2_FINAL.sv,DavidMurray_BluesForTwo-2_Solo,07:17-08:10,431.2822,FINAL,109
118,DavidMurray_BodyAndSoul-1_FINAL.sv,DavidMurray_BodyAndSoul-1_Solo,02:01-03:58,118.5309,FINAL,110
119,DavidMurray_BodyAndSoul-2_FINAL.sv,DavidMurray_BodyAndSoul-2_Solo,04:57-05:28,292.8249,FINAL,110
120,DavidMurray_ChelseaBridge_FINAL.sv,DavidMurray_ChelseaBridge_Solo,02:28-04:48,142.6318,FINAL,111
121,DexterGordon_Cheesecake_FINAL.sv,DexterGordon_Cheesecake_Solo,01:11-03:15,69.8698,FINAL,112
122,DexterGordon_Dextivity_FINAL.sv,DexterGordon_Dextivity_Solo,00:50-02:13,46.4568,FINAL,113
123,DexterGordon_Montmartre_FINAL.sv,DexterGordon_Montmartre_Solo,00:56-03:31,53.8945,FINAL,114
124,DexterGordon_SocietyRed_FINAL.sv,DexterGordon_SocietyRed_Solo,03:57-08:03,235.5071,FINAL,115
125,DexterGordon_StanleyTheSteamer_FINAL.sv,DexterGordon_StanleyTheSteamer_Solo,00:34-03:44,29.5961,FINAL,116
126,DexterGordon_TheRainbowPeople_FINAL.sv,DexterGordon_TheRainbowPeople_Solo,01:09-04:27,66.1429,FINAL,117
127,DickieWells_AfterTheatreJump_FINAL.sv,DickieWells_AfterTheatreJump_Solo,03:42-04:26,217.1522,FINAL,39
128,DickieWells_DestinationK.C._FINAL.sv,DickieWells_DestinationK.C._Solo,00:37-01:09,33.2166,FINAL,40
129,DickieWells_Dickie'sDream_FINAL.sv,DickieWells_Dickie'sDream_Solo,01:45-02:18,100.4861,FINAL,41
130,DickieWells_IGotRhythm_FINAL.sv,DickieWells_IGotRhythm_Solo,,93.4444,FINAL,118
131,DickieWells_Jo-Jo_FINAL.sv,DickieWells_Jo-Jo_Solo,,32.8924,FINAL,119
132,DickieWells_SixCatsAndAPrince_FINAL.sv,DickieWells_SixCatsAndAPrince_Solo,02:56-03:32,171.4473,FINAL,120
133,DizzyGillespie_Anthropology_FINAL.sv,DizzyGillespie_Anthropology_Solo,01:03-01:35,58.9166,FINAL,121
134,DizzyGillespie_Be-Bop_FINAL.sv,DizzyGillespie_Be-Bop_Solo,01:28-02:48,85.5129,FINAL,122
135,DizzyGillespie_Blue'nBoogie_FINAL.sv,DizzyGillespie_Blue'NBoogie_Solo,01:27-02:25,82.9075,FINAL,123
136,DizzyGillespie_CognacBlues_FINAL.sv,DizzyGillespie_CognacBlues_Solo,01:41-2:24,94.7142,FINAL,124
137,DizzyGillespie_Groovin'High_FINAL.sv,DizzyGillespie_Groovin'High_Solo,02:37-03:59,152.7064,FINAL,125
138,DizzyGillespie_HotHouse_FINAL.sv,DizzyGillespie_HotHouse_Solo,01:36- 02:20,92.768,FINAL,126
139,DonByas_Be-Bop_FINAL.sv,DonByas_Be-Bop_Solo,00:35-01:28,30.3773,FINAL,122
140,DonByas_BodyAndSoul_FINAL.sv,DonByas_BodyAndSoul_Solo,00:09-02:42,0.0,FINAL,127
141,DonByas_CognacBlues_FINAL.sv,DonByas_CognacBlues_Solo,00:53-01:41,47.9882,FINAL,124
142,DonByas_HarvardBlues-1_FINAL.sv,DonByas_HarvardBlues-1_Solo,00:40-01:08,35.2168,FINAL,128
143,DonByas_HarvardBlues-2_FINAL.sv,DonByas_HarvardBlues-2_Solo,02:35-03:06,150.8693,FINAL,128
144,DonByas_Infidele(Cry)_FINAL.sv,DonByas_Infidele(Cry)_Solo,01:07-02:15,61.8448,FINAL,129
145,DonByas_OutOfNowhere_FINAL.sv,DonByas_OutOfNowhere_Solo,02:02-03:15,116.2786,FINAL,130
146,DonByas_UnAmourPleurait_FINAL.sv,DonByas_UnAmourPleurait_Solo,01:22-02:37,75.1602,FINAL,131
147,DonEllis_ILoveYou_FINAL.sv,DonEllis_ILoveYou_Solo,01:47-03:30,103.6902,FINAL,132
148,DonEllis_JohnnyComeLately_FINAL.sv,DonEllis_JohnnyComeLately_Solo,00:35-01:52,33.6415,FINAL,133
149,DonEllis_OutOfNowhere_FINAL.sv,DonEllis_OutOfNowhere_Solo,00:49-1:44,45.7532,FINAL,134
150,DonEllis_SweetAndLovely_FINAL.sv,DonEllis_SweetAndLovely_Solo,01:03-03:01,58.6883,FINAL,135
151,DonEllis_YouSteppedOutOfADream-1_FINAL.sv,DonEllis_YouSteppedOutOfADream-1_Solo,00:35-01:16,33.2502,FINAL,136
152,DonEllis_YouSteppedOutOfADream-2_FINAL.sv,DonEllis_YouSteppedOutOfADream-2_Solo,02:42-03:25,157.872,FINAL,136
153,EricDolphy_245_FINAL.sv,EricDolphy_245_Solo,04:00-06:01,233.5371,FINAL,137
154,EricDolphy_Aisha_FINAL.sv,EricDolphy_Aisha_solo,03:13-04:17,189.1493,FINAL,138
155,EricDolphy_DahomeyDance_FINAL.sv,EricDolphy_DahomeyDance_Solo,06:12-08:29,370.4494,FINAL,139
156,EricDolphy_Les_FINAL.sv,EricDolphy_Les_Solo,0:33-1:32,28.4725,FINAL,140
157,EricDolphy_OnGreenDolphinStreet_FINAL.sv,EricDolphy_OnGreenDolphinStreet_Solo,00:55-2:25,50.9639,FINAL,141
158,EricDolphy_Serene_FINAL.sv,EricDolphy_Serene_Solo,00:40-02:43,36.0322,FINAL,142
159,FatsNavarro_Anthropology_No1_FINAL.sv,FatsNavarro_Anthropology_No1_Solo,01:28-02:19,84.324,FINAL,143
160,FatsNavarro_DoubleTalk_FINAL.sv,FatsNavarro_DoubleTalk_Solo,00:49-02:34,44.4897,FINAL,144
161,FatsNavarro_GoodBait_AlternateTake_FINAL.sv,FatsNavarro_GoodBait_No2_Solo,01:58-02:52,112.7211,FINAL,145
162,FatsNavarro_GoodBait_FINAL.sv,FatsNavarro_GoodBait_No1_Solo,01:58-02:52,113.719,FINAL,146
163,FatsNavarro_OurDelight_FINAL.sv,FatsNavarro_OurDelight_Solo,01:21-02:01,79.2674,FINAL,147
164,FatsNavarro_TheSkunk_FINAL.sv,FatsNavarro_TheSkunk_Solo,01:12-01:48,68.6917,FINAL,148
165,FreddieHubbard_245_FINAL.sv,FreddieHubbard_245_Solo,00:41-02:43,35.268,FINAL,137
166,FreddieHubbard_DolphinDance_FINAL.sv,FreddieHubbard_DolphinDance_Solo,01:20-03:33,74.038,FINAL,149
167,FreddieHubbard_DownUnder_FINAL.sv,FreddieHubbard_DownUnder_Solo,03:05-03:49,179.8068,FINAL,96
168,FreddieHubbard_MaidenVoyage_FINAL.sv,FreddieHubbard_MaidenVoyage_Solo,02:25-04:25,137.4638,FINAL,150
169,FreddieHubbard_SocietyRed_FINAL.sv,FreddieHubbard_SocietyRed_Solo,01:17-03:47,72.801,FINAL,115
170,FreddieHubbard_SpeakNoEvil_FINAL.sv,FreddieHubbard_SpeakNoEvil_Solo,04:19-05:41,250.2481,FINAL,151
171,GeorgeColeman_MaidenVoyage_FINAL.sv,GeorgeColeman_MaidenVoyage_Solo,02:25-04:25,137.4638,FINAL,150
172,GerryMulligan_Bunny_FINAL.sv,GerryMulligan_Bunny_Solo,02:24-03:30,138.2862,FINAL,152
173,GerryMulligan_LineForLyons_FINAL.sv,GerryMulligan_LineForLyons_Solo,00:43-01:30,38.6857,FINAL,153
174,GerryMulligan_ScrappleFromTheApple_FINAL.sv,GerryMulligan_ScrappleFromTheApple_Solo,01:04-03:07,58.2029,FINAL,154
175,GerryMulligan_TheRedDoor_FINAL.sv,GerryMulligan_TheRedDoor_Solo,03:17-04:24,190.7899,FINAL,155
176,GerryMulligan_ThisCan'tBeLove_FINAL.sv,GerryMulligan_ThisCan'tBeLove_Solo,03:29-06:17,204.4404,FINAL,156
177,GerryMulligan_WalkingShoes_FINAL.sv,GerryMulligan_WalkingShoes_Solo,00:56-01:55,51.4932,FINAL,157
178,HankMobley_Doodlin'_FINAL.sv,HankMobley_Doodlin'_Solo,02:19-03:33,129.8826,FINAL,158
179,HankMobley_LadyBird_FINAL.sv,HankMobley_LadyBird_Solo,02:17-04:01,134.534,FINAL,159
180,HankMobley_Remember_FINAL.sv,HankMobley_Remember_Solo,,38.8298,FINAL,160
181,HankMobley_SoulStation_FINAL.sv,HankMobley_SoulStation_Solo,01:24-04:37,80.3665,FINAL,161
182,HarryEdison_DidYouCallHerToday_FINAL.sv,HarryEdison_DidYouCallHerToday_Solo,01:18-03:31,71.0537,FINAL,18
183,HenryAllen_BabyWon'tYouPleaseComeHome_FINAL.sv,HenryAllen_BabyWon'tYouPleaseComeHome_Solo,01:09- 01:50,66.5044,FINAL,162
184,HerbieHancock_Agitation_FINAL.sv,HerbieHancock_Agitation_Solo,,352.5,FINAL,163
185,HerbieHancock_Dolores_FINAL.sv,HerbieHancock_Dolores_Solo,,187.5,FINAL,164
186,HerbieHancock_GingerbreadBoy_FINAL.sv,HerbieHancock_GingerbreadBoy_Solo,,264.0,FINAL,165
187,HerbieHancock_HandJive_FINAL.sv,HerbieHancock_HandJive_Solo,,332.1153,FINAL,166
188,HerbieHancock_Orbits_FINAL.sv,HerbieHancock_Orbits_Solo,,156.5,FINAL,167
189,JCHigginbotham_BabyWon'tYouPleaseComeHome_FINAL.sv,JCHigginbotham_BabyWon'tYouPleaseComeHome_Solo,00:28-01:09,25.0354,FINAL,162
190,JJJohnson_BlueMode_FINAL.sv,JJJohnson_BlueMode_Solo,00:36-02:07,30.8245,FINAL,168
191,JJJohnson_BluesInTheCloset_FINAL.sv,JJJohnson_BluesInTheCloset_Solo,00:36-03:55,30.8418,FINAL,169
192,JJJohnson_CrazyRhythm_FINAL.sv,JJJohnson_CrazyRhythm_Solo,00:30-02:52,24.7209,FINAL,170
193,JJJohnson_Elora_FINAL.sv,JJJohnson_Elora_Solo,01:29-02:08,81.7715,FINAL,171
194,JJJohnson_MyFunnyValentine_FINAL.sv,JJJohnson_MyFunnyValentine_Solo,01:03-03:17,58.8523,FINAL,172
195,JJJohnson_Teapot_FINAL.sv,JJJohnson_Teapot_Solo,00:06-00:55,0.0,FINAL,173
196,JJJohnson_Walkin'_FINAL.sv,JJJohnson_Walkin'_Solo,,210.838,FINAL,174
197,JJJohnson_Yesterdays_FINAL.sv,JJJohnson_Yesterdays_Solo,01:09-03:10,64.5907,FINAL,175
198,JoeHenderson_In'NOut-1_FINAL.sv,JoeHenderson_In'NOut-1_Solo,00:27-03:35,24.7645,FINAL,176
199,JoeHenderson_In'NOut-2_FINAL.sv,JoeHenderson_In'NOut-2_Solo,08:30-09:53,508.7676,FINAL,176
200,JoeHenderson_JohnnyComeLately_FINAL.sv,JoeHenderson_JohnnyComeLately_Solo,01:35-03:09,87.8437,FINAL,177
201,JoeHenderson_Punjab_FINAL.sv,JoeHenderson_Punjab_Solo,01:09-03:24,64.9138,FINAL,178
202,JoeHenderson_Serenity_FINAL.sv,JoeHenderson_Serenity_Solo,01:29-03:16,87.5925,FINAL,179
203,JoeHenderson_TheSidewinder_FINAL.sv,JoeHenderson_TheSidewinder_Solo,,219.6388,FINAL,180
204,JoeHenderson_TotemPole_FINAL.sv,JoeHenderson_TotemPole_Solo,,191.1162,FINAL,181
205,JoeHenderson_U.M.M.G._FINAL.sv,JoeHenderson_U.M.M.G._Solo,00:45-01:56,38.5594,FINAL,182
206,JoeLovano_BodyAndSoul-1_FINAL.sv,JoeLovano_BodyAndSoul-1_Solo,00:44-04:58,30.8334,FINAL,183
207,JoeLovano_BodyAndSoul-2_FINAL.sv,JoeLovano_BodyAndSoul-2_Solo,05:50-07:22,349.7941,FINAL,183
208,JoeLovano_CentralParkWest_FINAL.sv,JoeLovano_CentralParkWest_Solo,02:33-05:59,149.9543,FINAL,184
209,JoeLovano_ConAlma_FINAL.sv,JoeLovano_ConAlma_Solo,01:19-02:24,73.1405,FINAL,185
210,JoeLovano_ICan'tGetStarted_FINAL.sv,JoeLovano_ICan'tGetStarted_Solo,00:00-03:45,0.0,FINAL,186
211,JoeLovano_LittleWillieLeapsIn_FINAL.sv,JoeLovano_LittleWillieLeapsIn_Solo,,147.042,FINAL,187
212,JoeLovano_Lonnie'sLament-1_FINAL.sv,JoeLovano_Lonnie'sLament-1_Solo,02:34-??,75.0446,FINAL,188
213,JoeLovano_Work_FINAL.sv,JoeLovano_Work_Solo,02:39-04:29,153.7137,FINAL,189
