recordid,artist,recordtitle,label,recordbib,mbzid,releasedate
150,Pat Metheny,Question and Answer,Geffen Records,GED 24293,,1990
151,Paul Desmond,Bossa Antigua,Rca Victor,0902668689-2,,1999
152,Paul Desmond,Take Ten,Rca Victor,LC 00316,,
153,Dave Brubeck,Time Out,Columbia Records,CH 65122,,1959
154,Chet Baker,Chet,Riverside Records,OJCD-087-2,,1959
155,Phil Woods,"Battle of Saxes Volume 2, CD 3",Membran Music Ltd.,222276-354,,2004
156,Benny Carter And His Orchestra,Further Definitions,Impulse! Records,IMPD229,,1997
157,Phil Woods,"Battle of Saxes Volume 2, CD 3",Membran Music Ltd.,,,2004
158,Phil Woods,"Battle of Saxes Volume 2, CD 3",Membran Music Ltd,222276-354,,2004
159,Zoot Sims,"Quadromania Jazz Edition, Zoot Sims, That Old Feeling, CD 1",Membran Music Ltd.,222478444,,2005
160,Roy Eldridge,Minor Jive,History - (Trumpets of Jericho)s,20.1973-HI,,
161,Sidney Bechet,The Cradle Of Jazz -Sidney Bechet - Chant In The Night CD 1,Trumpets of Jericho Ltd.,20.3010-HI,,
162,Sonny Rollins,1956,CD Company Italy,CD53061,,1990
163,Clifford Brown,Brownie - The Complete EmArcy Recordings of Clifford Brown (Disc 10),EmArcy,838 316-2,,1991
164,Sonny Rollins,Next Album,Milestone,OJCCD-312-2,,1972
165,Sonny Rollins,Saxophone Collosus,Prestige,OJCCD-291-2,,1987
166,Stan Getz,The Essential Stan Getz,Verve Records,731451717123,,1992
167,Stan Getz,Body and Soul,Universal,602498352649,,2006
168,Steve Coleman And Five Elements,Black Science,Novus,PD 83119,,1991
169,Dave Holland Quartet,Extensions,ECM,ECM 1410,,1990
170,Dave Holland Trio,Triplicate,ECM,ECM 1373,,1988
171,Dave Holland Trio,Triplicate,ECM Records,ECM 1373,,1988
172,Steve Lacy,"Steve Lacy featuring Roswell Rudd, Don Cherry, Carl Brown, Bill Higgins, Winton Kelly, Buell Neidlinger, Dennis Charles and Henry Grimes",Giants of Jazz,CD 53260,,1995
173,Steve Lacy,Steve Lacy plays Thelonious Monk - Reflections,Original Jazz Classics/Prestige New Jazz,OJCCD-063-2,,1990
174,Steve Lacy,Steve Lacy plays Thelonious Monk-Reflections,Original Jazz Classics/Prestige New Jazz,OJCCD-063-2,,1990
175,Woody Shaw,Imagination,32 Jazz,32090,,1998
176,Lee Konitz,Sax of a Kind,Membran Musc Ltd.,222453-444/A,,2005
177,Wayne Shorter,Adam's Apple,Blue Note,CDP 7 46403 2,,1987
178,Wayne Shorter,The Blue Note Years - The Best of Wayne Shorter,Blue Note,CDP 7 91141 2,,1988
179,Woody Shaw,Stepping Stones: Live at the Village Vanguard,Columbia,JC 35560,,1978
180,Woody Shaw,Rosewood,Columbia (Legacy),CB 741,,1998
181,Wynton Marsalis Quartet,"Marsalis Standard Time, Vol. 1",CBS/Columbia,FC 40461,,1987
182,Wynton Marsalis Quartet,"The Resolution of Romance - Standard Time, Vol. 3",CBS/Columbia,466871 1,,1990
183,Zoot Sims,"Quadromania Jazz Edition, Zoot Sims, That Old Feeling, CD 2",Membran Music Ltd.,222478444,,2005
184,Roy Eldridge,"Quadromania Jazz Edition, Zoot Sims, That Old Feeling, CD 1",Membran Music Ltd.,222478444,,2005
