melid,type
167,SOLO
168,SOLO
169,SOLO
170,SOLO
171,SOLO
172,SOLO
173,SOLO
174,SOLO
175,SOLO
176,SOLO
177,SOLO
178,SOLO
179,SOLO
180,SOLO
181,SOLO
182,SOLO
183,SOLO
184,SOLO
185,SOLO
186,SOLO
187,SOLO
188,SOLO
189,SOLO
190,SOLO
191,SOLO
192,SOLO
193,SOLO
194,SOLO
195,SOLO
196,SOLO
197,SOLO
198,SOLO
199,SOLO
200,SOLO
201,SOLO
202,SOLO
203,SOLO
204,SOLO
205,SOLO
206,SOLO
207,SOLO
208,SOLO
209,SOLO
210,SOLO
211,SOLO
212,SOLO
213,SOLO
214,SOLO
215,SOLO
216,SOLO
217,SOLO
218,SOLO
219,SOLO
220,SOLO
221,SOLO
222,SOLO
223,SOLO
224,SOLO
225,SOLO
226,SOLO
227,SOLO
228,SOLO
229,SOLO
230,SOLO
231,SOLO
232,SOLO
233,SOLO
234,SOLO
235,SOLO
236,SOLO
237,SOLO
238,SOLO
239,SOLO
240,SOLO
241,SOLO
242,SOLO
243,SOLO
244,SOLO
245,SOLO
246,SOLO
247,SOLO
248,SOLO
249,SOLO
250,SOLO
251,SOLO
252,SOLO
253,SOLO
254,SOLO
255,SOLO
256,SOLO
257,SOLO
258,SOLO
259,SOLO
260,SOLO
261,SOLO
262,SOLO
263,SOLO
264,SOLO
265,SOLO
266,SOLO
267,SOLO
268,SOLO
269,SOLO
270,SOLO
271,SOLO
272,SOLO
273,SOLO
274,SOLO
275,SOLO
276,SOLO
277,SOLO
278,SOLO
279,SOLO
280,SOLO
281,SOLO
282,SOLO
283,SOLO
284,SOLO
285,SOLO
286,SOLO
287,SOLO
288,SOLO
289,SOLO
290,SOLO
291,SOLO
292,SOLO
293,SOLO
294,SOLO
295,SOLO
296,SOLO
297,SOLO
298,SOLO
299,SOLO
300,SOLO
301,SOLO
302,SOLO
303,SOLO
304,SOLO
305,SOLO
306,SOLO
307,SOLO
308,SOLO
309,SOLO
310,SOLO
311,SOLO
312,SOLO
313,SOLO
314,SOLO
315,SOLO
316,SOLO
317,SOLO
318,SOLO
319,SOLO
320,SOLO
321,SOLO
322,SOLO
323,SOLO
324,SOLO
325,SOLO
326,SOLO
327,SOLO
328,SOLO
329,SOLO
330,SOLO
331,SOLO
332,SOLO
333,SOLO
334,SOLO
335,SOLO
336,SOLO
337,SOLO
338,SOLO
339,SOLO
340,SOLO
341,SOLO
342,SOLO
343,SOLO
344,SOLO
345,SOLO
346,SOLO
347,SOLO
348,SOLO
349,SOLO
350,SOLO
351,SOLO
352,SOLO
353,SOLO
354,SOLO
355,SOLO
356,SOLO
357,SOLO
358,SOLO
359,SOLO
360,SOLO
361,SOLO
362,SOLO
363,SOLO
364,SOLO
365,SOLO
366,SOLO
367,SOLO
368,SOLO
369,SOLO
370,SOLO
371,SOLO
372,SOLO
373,SOLO
374,SOLO
375,SOLO
376,SOLO
377,SOLO
378,SOLO
379,SOLO
380,SOLO
381,SOLO
382,SOLO
383,SOLO
384,SOLO
385,SOLO
386,SOLO
387,SOLO
388,SOLO
389,SOLO
390,SOLO
391,SOLO
392,SOLO
393,SOLO
394,SOLO
395,SOLO
396,SOLO
397,SOLO
398,SOLO
399,SOLO
400,SOLO
401,SOLO
402,SOLO
403,SOLO
404,SOLO
405,SOLO
406,SOLO
407,SOLO
408,SOLO
409,SOLO
410,SOLO
411,SOLO
412,SOLO
413,SOLO
414,SOLO
415,SOLO
416,SOLO
417,SOLO
418,SOLO
419,SOLO
420,SOLO
421,SOLO
422,SOLO
423,SOLO
424,SOLO
425,SOLO
426,SOLO
427,SOLO
428,SOLO
429,SOLO
430,SOLO
431,SOLO
432,SOLO
433,SOLO
434,SOLO
435,SOLO
436,SOLO
437,SOLO
438,SOLO
439,SOLO
440,SOLO
441,SOLO
442,SOLO
443,SOLO
444,SOLO
445,SOLO
446,SOLO
447,SOLO
448,SOLO
449,SOLO
450,SOLO
451,SOLO
452,SOLO
453,SOLO
454,SOLO
455,SOLO
456,SOLO
