compid,title,composer,form,template,tonalitytype,genre
89,Down Under,Freddie Hubbard,A12,Blues,BLUES,ORIGINAL
90,Begin the Beguine,Cole Porter,A16A16B16A16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
91,Day & Nite,David Liebman,A16A16B16,,COLOR,ORIGINAL
92,I've Got You Under My Skin,Cole Porter,A16B16C8D16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
93,Milestones,Miles Davis,A20,,MODAL,ORIGINAL
94,Nica's Dream,Horace Silver,A16A16B16A16,,COLOR,ORIGINAL
95,No Greater Love,"Symes, Jones",A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
96,Pablo's Story,David Liebman,A16B16,,MODAL,ORIGINAL
97,Pendulum,Richard Beirach,open,,FREE,ORIGINAL
98,Secret Love,"Parish, Sherwood",A16A16B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
99,Softly as in a Morning Sunrise,S. Romberg/O. Hammerstein,A8A8B8A8,,MODAL,GREAT AMERICAN SONGBOOK
100,Ask Me Now,Thelonious Monk,A8A8B8A8,,FUNCTIONAL,ORIGINAL
101,Blues for Two,G. Arvanitas,A12,Blues,BLUES,ORIGINAL
102,Chelsea Bridge,Billy Strayhorn,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
103,Cheese Cake,Dexter Gordon,A16A16B8C16,,FUNCTIONAL,ORIGINAL
104,Dextivity,Dexter Gordon,A8A8B8A8,,FUNCTIONAL,ORIGINAL
105,Montmartre,Dexter Gordon,A8A8B8A8,,FUNCTIONAL,ORIGINAL
106,Society Red,Dexter Gordon,A12,Blues,BLUES,ORIGINAL
107,Stanley the Steamer,Dexter Gordon,A12,Blues,BLUES,ORIGINAL
108,The Rainbow People,Dexter Gordon,A8A8B8A8,,FUNCTIONAL,ORIGINAL
109,I Got Rhythm,G. & I. Gershwin,A8A8B8A8,I Got Rhythm,FUNCTIONAL,GREAT AMERICAN SONGBOOK
110,Jo-Jo,Joe Bushkin,A12,Blues,BLUES,ORIGINAL
111,Six Cats and a Prince,Clayton,A8A8B8A8,,FUNCTIONAL,ORIGINAL
112,Be-Bop,Gillespie,A8A8B16,,FUNCTIONAL,ORIGINAL
113,Blue 'n Boogie,Gillespie/Paparelli,A12,Blues,BLUES,ORIGINAL
114,Cognac Blues,Dizzy Gillespie,A12,Blues,BLUES,ORIGINAL
115,Groovin' High,Dizzy Gillespie,A16A16,,FUNCTIONAL,ORIGINAL
116,Hot House,Tadd Dameron,A8A8B8A8,What Is this Thing Called Love,FUNCTIONAL,ORIGINAL
117,Harvard Blues,"Frazier, Smith, Basie)",A12,Blues,BLUES,ORIGINAL
118,Infidele (Cry),Churchill - Kohlman,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
119,Un Amour Pleurait,Ray,A8A8B8C8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
120,I Love You,C. Porter,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
121,Johnny Come Lately,Duke Ellington,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
122,Sweet and Lovely,Arnheim/Tobias/Lemare,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
123,You Stepped Out of a Dream,Kahn/Brown,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
124,245,Eric Dolphy,A12,Blues,BLUES,ORIGINAL
125,Aisha,McCoy Tyner,B8A8,,FUNCTIONAL,ORIGINAL
126,Dahomey Dance,John Coltrane,A12,Blues,BLUES,ORIGINAL
127,Les,Eric Dolphy,A14,Blues,BLUES,ORIGINAL
128,On Green Dolphin Street,Kaper/Washington,A8B8A8C8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
129,Serene,Eric Dolphy,A12,Blues,BLUES,ORIGINAL
130,Double Talk,"McGhee, Navaro",A8A8B8A8,,FUNCTIONAL,ORIGINAL
131,Good Bait,Dameron,A8A8B8A8,,FUNCTIONAL,ORIGINAL
132,Our Delight,Dameron,A8A8B8A8,,FUNCTIONAL,ORIGINAL
133,The Skunk,Dameron,A12,Blues,BLUES,ORIGINAL
134,Dolphin Dance,Herbie Hancock,A12B18C4,,COLOR,ORIGINAL
135,Maiden Voyage,Herbie Hancock,A8A8B8A8,,MODAL,ORIGINAL
136,Speak No Evil,Wayne Shorter,A14A14B8A14,,COLOR,ORIGINAL
137,Bunny,Shorty Rogers,A8A8B8A8,,FUNCTIONAL,ORIGINAL
138,Line for Lyons,Gerry Mulligan,A8A88C8,,FUNCTIONAL,ORIGINAL
139,The Red Door,Zoot Sims / Gerry Mulligan,A8A8B8A8,,FUNCTIONAL,ORIGINAL
140,This Can't Be Love,"Rodgers, Hart",A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
141,Walking Shoes,Gerry Mulligan,A8A8B8A8,,FUNCTIONAL,ORIGINAL
142,Doodlin',H.Silver,A12,Blues,BLUES,ORIGINAL
143,Lady Bird,T.Dameron,A16,,FUNCTIONAL,ORIGINAL
144,Remember,Irving Berlin,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
145,Soul Station,Hank Mobley,A8,,FUNCTIONAL,ORIGINAL
146,Baby Won't You Please Come Home,"Warfield, Wiliams",A8B8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
147,Agitation,M. Davis,A4A4B4A4A4B4A4,,MODAL,ORIGINAL
148,Dolores,Shorter,A8B6A8,,COLOR,ORIGINAL
149,Gingerbread Boy,Jimmy Heath,A16,Blues,BLUES,ORIGINAL
150,Hand Jive,Tony Williams,A11B7,,COLOR,ORIGINAL
151,Orbits,Shorter,open,,COLOR,ORIGINAL
152,Blue Mode,J.J. Johnson,A12,Blues,BLUES,ORIGINAL
153,Blues in the Closet,Pettiford,A12,Blues,BLUES,ORIGINAL
154,Crazy Rhythm,"Meyer, Kahn, Caesar",A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
155,Elora,J.J. Johnson,A8A8B8C8,,FUNCTIONAL,ORIGINAL
156,My Funny Valentine,"Rodgers, Hart",A8A8B8C12,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
157,Teapot,J.J. Johnson,A8B8,,FUNCTIONAL,ORIGINAL
158,Walkin',Miles Davis/Richard Carpenter,A12,Blues,BLUES,ORIGINAL
159,Yesterdays,"Kern, Harbach",A16A16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
160,In 'n Out,Joe Henderson,A12,Blues,BLUES,ORIGINAL
161,Punjab,Joe Henderson,A10B8,,COLOR,ORIGINAL
162,Serenity,Joe Henderson,A14,,FUNCTIONAL,ORIGINAL
163,The Sidewinder,Lee Morgan,A24,Blues,BLUES,ORIGINAL
164,Totem Pole,Lee Morgan,A8A8B8A8,,FUNCTIONAL,ORIGINAL
165,Central Park West,John Coltrane,A12B10,,FUNCTIONAL,ORIGINAL
166,Con Alma,Dizzy Gillespie,A8A8B8A8,,FUNCTIONAL,ORIGINAL
167,I Can't Get Started,Vernon Duke,A8A8B8C8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
168,Little Willie Leaps in,Charlie Parker,A16B16,,FUNCTIONAL,ORIGINAL
169,Lonnie's Lament,John Coltrane,A8B8,,FUNCTIONAL,ORIGINAL
170,Work,Thelonious Monk,A8A8B8,,FUNCTIONAL,ORIGINAL
171,Ralph's Piano Waltz,John Abercrombie,A28,,MODAL,ORIGINAL
172,26-2,Coltrane,A8A8B8A8,Confirmation,FUNCTIONAL,ORIGINAL
173,Bessie's Blues,John Coltrane,A12,Blues,BLUES,ORIGINAL
174,Blues by Five,Red Garland,A12,Blues,BLUES,ORIGINAL
175,Countdown,Coltrane,A16,Tune Up,FUNCTIONAL,ORIGINAL
176,Giant Steps,John Coltrane,A16,,FUNCTIONAL,ORIGINAL
177,Impressions,John Coltrane,A8A8B8A8,So what,MODAL,ORIGINAL
178,Mr. P.C.,Coltrane,A12,Blues,BLUES,ORIGINAL
179,My Favorite Things,Richard Rogers & Oscar Hammerstein,open,,MODAL,GREAT AMERICAN SONGBOOK
180,Nature Boy,Eden Abhez,open,,MODAL,GREAT AMERICAN SONGBOOK
181,Nutty,Thelonious Monk,A8A8B8A8,,FUNCTIONAL,ORIGINAL
182,Oleo,Sonny Rollins,A8A8B8A8,I Got Rhythm,FUNCTIONAL,ORIGINAL
183,Soultrane,Tadd Dameron,A8A8B8A8,,FUNCTIONAL,ORIGINAL
184,Trane's Blues,John Coltrane,A12,Blues,BLUES,ORIGINAL
185,Got No Blues,Lillian Hardin,A8B8,,FUNCTIONAL,ORIGINAL
186,Heebie Jeebies,Boyd Atkins,A18,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
187,Hotter than That,Lillian Hardin,A16,,FUNCTIONAL,ORIGINAL
188,Muskrat Ramble,Edward Ory,A16,,FUNCTIONAL,ORIGINAL
189,My Heart,Lillian Hardin,A8B8,,FUNCTIONAL,ORIGINAL
190,Once in a While,William H. Butler,A16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
191,Early Morning Rock,Johnny Hodges,A12,Blues,BLUES,ORIGINAL
192,Blues on Sunday,Joshua Redman,A12,Blues,BLUES,ORIGINAL
193,Home Fries,Joshua Redman,A16,Blues,BLUES,ORIGINAL
194,I Got You,James Brown,A12,Blues,BLUES,ORIGINAL
195,Sweet Sorrow,Redman,A8A8B8B8,,COLOR,ORIGINAL
196,Tears in Heaven,Eric Clapton/Will Jennings,A10B10,,FUNCTIONAL,ORIGINAL
197,Tiny's Blues,Kahn/Cohn,A12,Blues,BLUES,ORIGINAL
198,Blues in Be-Bop,McKinley/Dorham,A12,Blues,BLUES,ORIGINAL
199,Prince Albert,K.Dorham,A8B8C8D12,All the things you are,FUNCTIONAL,ORIGINAL
200,Brother Hubbard,Kenny Garett,A8A8B9,,COLOR,ORIGINAL
201,Double Vision,Dave Holland,open,,COLOR,ORIGINAL
202,Pass It On,Dave Holland,A4A4B4A8,,MODAL,ORIGINAL
203,Slipped again,Thad Jones,A12,Blues,BLUES,ORIGINAL
204,Gut Bucket Blues,Louis Armstrong,A12,Blues,BLUES,ORIGINAL
205,Savoy Blues,Edward Ory,A12,Blues,BLUES,ORIGINAL
206,Who's it,Beatrice Jones,A32,,FUNCTIONAL,ORIGINAL
207,All the Things You Are,"J. Kern, O. Hammerstein",A8B8C8D12,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
208,Bop Goes to Leesel,Marsh,A12,Blues,BLUES,ORIGINAL
209,Crosscurrent,Lennie Tristano,A8B8C8A8,,FUNCTIONAL,ORIGINAL
210,Marshmallow,,A8A8B8A8,,FUNCTIONAL,ORIGINAL
211,Mean to Me,Turk - Ahlert,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
212,Tautology,Lee Konitz,A8B8C8A8,,FUNCTIONAL,ORIGINAL
213,Wow,,A8B8A8B8,,FUNCTIONAL,ORIGINAL
214,Just One of Those Things,Cole Porter,A16A16B16A16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
215,D.B. Blues,L. Young/K. Pleasure,A12,Blues,BLUES,ORIGINAL
216,Lester Leaps In,Lester Young,A8A8B8C8,I Got Rhythm,FUNCTIONAL,ORIGINAL
217,Dinah,"Sam M. Lewis, Joe Youg, Harry Akst",A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
218,High Society,"Porter Steele, Walter Melrose",A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
219,Memories of You,"Andy Razaf, Eubie Blake",A8A8B88,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
220,Basin Street Blues,Williams,A12,Blues,BLUES,GREAT AMERICAN SONGBOOK
221,Big Butter and Egg Man,Percy Venable,A32,,FUNCTIONAL,ORIGINAL
222,Cornet Chop Suey,Louis Armstrong,A16,,FUNCTIONAL,ORIGINAL
223,Cabin Fever,Michael Brecker,A12,Blues,BLUES,ORIGINAL
224,Confirmation,Charlie Parker,A8A8B8A8,,FUNCTIONAL,ORIGINAL
225,Delta City Blues,Michael Brecker,A24,Blues,BLUES,ORIGINAL
226,I Mean You,Hawkins/Monk,A8A8B8A8,,FUNCTIONAL,ORIGINAL
227,Midnight Voyage,Joey Calderazzo,A8A8B16A8,,COLOR,ORIGINAL
228,Naked Soul,Michael Brecker,A8B8C8D8,,COLOR,ORIGINAL
229,Never Alone,Michael Brecker,A20B25,,COLOR,ORIGINAL
230,Nothing Personal,Grolnick,A12,Blues,BLUES,ORIGINAL
231,Peep,Brecker,A38B34C8,,COLOR,ORIGINAL
232,Song for Bilbao,Pat Metheny,A8A8B4A8,,COLOR,ORIGINAL
233,Airegin,Sonny Rollins,A8B12A8C8,,FUNCTIONAL,ORIGINAL
234,Bitches Brew,Miles Davis,open,,COLOR,ORIGINAL
235,E.S.P.,Shorter/Davis,A16A16,,COLOR,ORIGINAL
236,Eighty-One,Carter/Davis,A12,Blues,BLUES,ORIGINAL
237,Miles Runs the Voodoo Down,Miles Davis,open,,COLOR,ORIGINAL
238,Tune Up,Miles Davis,A16B16,,FUNCTIONAL,ORIGINAL
239,Vierd Blues,,A12,Blues,BLUES,ORIGINAL
240,Bag's Groove,Milt Jackson,A12,Blues,BLUES,ORIGINAL
241,Bemsha Swing,"Thelonious Monk, Denzil Best",A8B8,,FUNCTIONAL,ORIGINAL
242,Don't Get Around Much Anymore,Ellington/Russel,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
243,What's New,Haggart/Burke,B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
244,Bohemia After Dark,Oscar Pettiford,A8A8B8A8,,FUNCTIONAL,ORIGINAL
245,Bird Food,Coleman,open,,FREE,ORIGINAL
246,Chronology,Coleman,open,,FREE,ORIGINAL
247,Congeniality,Coleman,open,,FREE,ORIGINAL
248,Peace,Coleman,open,,FREE,ORIGINAL
249,Ramblin',Coleman,open,,FREE,ORIGINAL
250,Along Came Betty,Benny Golson,A16B8C8,,FUNCTIONAL,ORIGINAL
251,Alianca,Paul Desmond,A16B16,,FUNCTIONAL,ORIGINAL
252,Alone Together,,A14A14B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
253,Blue Rondo a la Turk,Dave Brubeck,A12,Blues,BLUES,ORIGINAL
254,Bossa Antigua,Paul Desmond,A8B8C8A8,,FUNCTIONAL,ORIGINAL
255,Samba Cantina,Paul Desmond,A16B16,,FUNCTIONAL,ORIGINAL
256,The Girl from East 9th Street,Paul Desmond,A8B8A8B8,,FUNCTIONAL,ORIGINAL
257,Early Morning Mood,Chet Baker,A12,Blues,BLUES,ORIGINAL
258,How High the Moon,Hamilton/Lewis,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
259,Be My Love,Nicholas Brodzky,A8B8A8C12,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
260,Cotton Tail,Duke Ellington,A8A8B8A8,I Got Rhythm,FUNCTIONAL,GREAT AMERICAN SONGBOOK
261,Honeysuckle Rose,Razaf/Waller,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
262,On a Slow Boat to China,Frank Loesser,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
263,Strollin' with Pam,,A12,Blues,BLUES,ORIGINAL
264,King David,Roy Eldridge,A12,Blues,BLUES,ORIGINAL
265,St. Louis Blues,W.C. Handy,A12A12B8A12,Blues,BLUES,GREAT AMERICAN SONGBOOK
266,The Gasser,Eldridge,A8B8,,FUNCTIONAL,ORIGINAL
267,Undecided,Robbin-Shavers,A16B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
268,Really the Blues,Mezzrow,A12,Blues,BLUES,ORIGINAL
269,Summertime,Gershwin,A8B8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
270,Blue Seven,Sonny Rollins,A12,Blues,BLUES,ORIGINAL
271,Playin' in the Yard,,A16,,FUNCTIONAL,ORIGINAL
272,St. Thomas,Sonny Rollins,A16,,FUNCTIONAL,ORIGINAL
273,Tenor Madness,Sonny Rollins,A12,Blues,BLUES,ORIGINAL
274,The Everywhere Calypso,,A12,,FUNCTIONAL,ORIGINAL
275,Good Kick,Stitt,A8A8B8A8,,FUNCTIONAL,ORIGINAL
276,I'm Glad There Is You,"Paul Madeira, Jimmy Dorsey",A8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
277,Insensatez,"Antonio Carlos Jobim, Vinicius De Moraes",A8B8C8D8,,FUNCTIONAL,ORIGINAL
278,Cross-Fade,Steve Coleman,A4,,FREE,ORIGINAL
279,Processional,Dave Holland,A12,,COLOR,ORIGINAL
280,Take the Coltrane,Duke Ellington,A12,Blues,BLUES,ORIGINAL
281,The Oracle,Dave Holland,open,,FREE,ORIGINAL
282,Easy to Love,Cole Porter,A16A16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
283,Let's Cool One,Thelonious Monk,A8A8B8A8,,FUNCTIONAL,ORIGINAL
284,Skippy,Thelonious Monk,A16B16,,FUNCTIONAL,ORIGINAL
285,Dat Dere,O. Brown Jr./B. Timmons,A8A8B8A8,,FUNCTIONAL,ORIGINAL
286,If I Were a Bell,F. Loesser,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
287,Steve's Blues,S. Turre,A12,Blues,BLUES,ORIGINAL
288,Adam's Apple,Wayne Shorter,A16B8,,COLOR,ORIGINAL
289,Footprints,Wayne Shorter,A12,Blues,BLUES,ORIGINAL
290,Infant Eyes,Shorter,A9B9A9,,COLOR,ORIGINAL
291,Juju,Wayne Shorter,A24,,COLOR,ORIGINAL
292,Imagination,J. VanHuesen/J. Burke,A8A8B8A14,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
293,In a Capricornian Way,Woody Shaw,A16A16B20,,COLOR,ORIGINAL
294,Rahsaan's Run,Woody Shaw,A24,,FUNCTIONAL,ORIGINAL
295,Rosewood,Woody Shaw,A16B20A16B16,,COLOR,ORIGINAL
296,Stepping Stone,Woody Shaw,A16B16,,FUNCTIONAL,ORIGINAL
297,April in Paris,"Vernon Duke, Yip Harburg",A8B8C8D8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
298,Caravan,Juan Tizol,A8A8B8A8,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
299,Cherokee,Ray Noble,A16A16B16A16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
300,Cherokee II,Ray Noble,A16A16B16A16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
301,You're My Everything,"Mort Dixon, Harry Warren, Joe Young",A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
302,Dancing in the Dark,Dietz/Schwartz,A16B16,,FUNCTIONAL,GREAT AMERICAN SONGBOOK
