Title,Composed by,Year,Length,Time,Form,Style,Common Key
Invitation,Bronislau Kaper,1952,48 bars,4/4,ABC,Swing,C-
It Could Happen To You,Jimmy Van Heusen,1944,32 bars,4/4,ABAC,Swing,Eb
It Don't Mean A Thing,Duke Ellington,1932,32 bars,4/4,AABA,Swing,Bb
It Might As Well Be Spring,Richard Rodgers,1945,80 bars,4/4,AABAC,Swing,G
Joy Spring,Clifford Brown,1954,32 bars,4/4,ABCA,Swing,F
Just Friends,John Klenner,1931,32 bars,4/4,ABAC,Swing,G
Lady Bird,Tadd Dameron,1947,16 bars,4/4,,Bebop,C
Laura,David Raksin,1945,32 bars,4/4,ABAC,Ballad,C
Like Someone In Love,Jimmy Van Heusen,1944,32 bars,4/4,ABAC,Swing,Eb
Love For Sale,Cole Porter,1930,64 bars,4/4,AABA,Swing,Eb
Lover Man,Jimmy Davis,1942,32 bars,4/4,AABA,Ballad,F
Lullaby Of Birdland,George Shearing,1952,32 bars,4/4,AABA,Swing,Bb
Mack The Knife,Kurt Weill,1928,16 bars,4/4,,Swing,Bb
Maiden Voyage,Herbie Hancock,1965,32 bars,4/4,AABA,Swing,D
Meditation,Antonio Carlos Jobim,1962,56 bars,4/4,AABC,Bossa,C
Milestones,Miles Davis,1958,32 bars,4/4,AABA,Swing,G-
Misty,Erroll Garner,1954,32 bars,4/4,AABA,Ballad,Eb
Moment's Notice,John Coltrane,1957,38 bars,4/4,ABAC,Swing,Eb
Mood Indigo,Duke Ellington,1930,32 bars,4/4,AB,Ballad,Ab
My Favorite Things,Richard Rodgers,1959,72 bars,3/4,ABC,Jazz Waltz,E-
My Foolish Heart,Victor Young,1949,32 bars,4/4,ABAC,Ballad,Bb
My Funny Valentine,Richard Rodgers,1937,36 bars,4/4,AABC,Swing,Eb
My One And Only Love,"Guy Wood,Robert Mellin",1953,32 bars,4/4,AABA,Ballad,C
My Romance,Richard Rodgers,1935,32 bars,4/4,ABAC,Swing,C
Nardis,Miles Davis,1958,32 bars,4/4,AABA,Swing,E-
The Nearness Of You,Hoagy Carmichael,1938,36 bars,4/4,AABC,Ballad,F
Night And Day,Cole Porter,1932,48 bars,4/4,AAB,Swing,C
Night In Tunisia,Dizzie Gillespie,1941,32 bars,4/4,AABA,Bebop,D-
Now's The Time,Charlie Parker,1945,12 bars,4/4,,Blues,F
Oleo,Sonny Rollins,1954,32 bars,4/4,AABA,Swing,Bb
On Green Dolphin Street,Bronislau Kaper,1947,32 bars,4/4,ABAC,Latin/Swing,"Eb,"
On The Sunny Side Of The Street,Jimmy McHugh,1930,32 bars,4/4,AABA,Swing,C
Once I Loved,Antonio Carlos Jobim,1960,44 bars,4/4,AAB,Bossa,D-
One Note Samba,Antonio Carlos Jobim,1961,40 bars,4/4,ABA,Bossa,Bb
Ornithology,Charlie Parker,1946,32 bars,4/4,ABAC,Bebop,G
Love Is Here To Stay,George Gershwin,1937,32 bars,4/4,ABAC,Swing,F
Out Of Nowhere,Johnny Green,1931,32 bars,4/4,ABAC,Swing,G
Peace,Horace Silver,1959,10 bars,4/4,,Ballad,Bb
Perdido,Juan Tizol,1942,32 bars,4/4,AABA,Swing,Bb
Polka Dots And Moonbeams,Jimmy Van Heusen,1940,32 bars,4/4,AABA,Ballad,F
Prelude To A Kiss,Duke Ellington,1938,32 bars,4/4,AABA,Ballad,C
Round Midnight,Thelonious Monk,1944,32 bars,4/4,AABA,Ballad,Eb
St. James Infirmary,[traditional],1928,16 bars,4/4,,Blues,D-
St. Thomas,Sonny Rollins,1956,16 bars,4/4,,Latin,C
Satin Doll,"Duke Ellington,Billy Strayhorn",1953,32 bars,4/4,AABA,Swing,C
Scrapple From The Apple,Charlie Parker,1947,32 bars,4/4,AABA,Bebop,F
Shadow Of Your Smile,Johnny Mandel,1965,32 bars,4/4,AABA,Swing,G
Skylark,Hoagy Carmichael,1941,32 bars,4/4,AABA,Ballad,Eb
So What,Miles Davis,1959,36 bars,4/4,AABA,Swing,D-
Softly As In A Morning Sunrise,Sigmund Romberg,1928,32 bars,4/4,AABA,Swing,C-
Solar,Miles Davis,1954,12 bars,4/4,,Swing,C-
Someday My Prince Will Come,Frank Churchill,1937,32 bars,3/4,ABAC,Jazz Waltz,Bb
Someone To Watch Over Me,George Gershwin,1926,32 bars,4/4,AABA,Swing,Eb
Song For My Father,Horace Silver,1964,24 bars,4/4,AAB,Latin,F-
The Song Is You,Jerome Kern,1932,64 bars,4/4,AABA,Swing,C
Sophisticated Lady,Duke Ellington,1932,32 bars,4/4,AABA,Ballad,Ab
Speak Low,Kurt Weill,1943,56 bars,4/4,AABAC,Swing,F
Stardust,Hoagy Carmichael,1929,32 bars,4/4,AB,Ballad,Db
Star Eyes,"Gene De Paul,Don Raye",1943,36 bars,4/4,AABA,Swing,Eb
Stella By Starlight,Victor Young,1946,36 bars,4/4,ABCA,"Swing,Ballad",Bb
Stolen Moments,Oliver Nelson,1961,23 bars,4/4,AB,Blues,C-
Stompin' At The Savoy,"Benny Goodman,Chick Webb,Edgar Sampson",1936,32 bars,4/4,AABA,Swing,Db
Straight No Chaser,Thelonious Monk,1951,12 bars,4/4,,Blues,F
Summertime,George Gershwin,1934,16 bars,4/4,,Swing,A-
Sweet Georgia Brown,"Ben Bernie,Maceo Pinkard",1925,48 bars,4/4,AAB,Swing,Ab
Take Five,Paul Desmond,1959,24 bars,5/5,ABA,Swing,Eb-
Take The A Train,Billy Strayhorn,1939,32 bars,4/4,AABA,Swing,C
Tenderly,Walter Gross,1946,32 bars,4/4,ABAC,Ballad,Eb
There Is No Greater Love,Isham Jones,1936,32 bars,4/4,AABA,Swing,Bb
There Will Never Be Another You,Harry Warren,1942,32 bars,4/4,ABAC,Swing,Eb
Things Ain’t What They Used To Be,Mercer Ellington,1942,12 bars,4/4,,Blues,
Watermelon Man,Herbie Hancock,1962,16 bars,4/4,,Swing,F
Wave,Antonio Carlos Jobim,1967,44 bars,4/4,AABA,Bossa,D
The Way You Look Tonight,Jerome Kern,1936,68 bars,4/4,AABAC,Swing,F
"Well, You Needn't",Thelonious Monk,1944,32 bars,4/4,AABA,Swing,F
What Is This Thing Called Love?,Cole Porter,1929,32 bars,4/4,AABA,Swing,C
What's New,Bob Haggart,1939,32 bars,4/4,AABA,Ballad,C
Whisper Not,Benny Golson,1956,32 bars,4/4,AABA,Swing,C-
Willow Weep For Me,Ann Ronell,1932,32 bars,4/4,AABA,Swing,G
Yardbird Suite,Charlie Parker,1946,32 bars,4/4,AABA,Bebop,C
Yesterdays,Jerome Kern,1933,16 bars,4/4,,Swing,D-
You Don't Know What Love Is,"Gene De Paul,Don Raye",1941,32 bars,4/4,AABA,Ballad,F-
You Stepped Out Of A Dream,"Nacio Herb Brown,Gus Kahn",1940,32 bars,4/4,ABAC,Swing,C
