yt_id,standard,composer,artist,album,year,instrumentation,youtube_url,youtube_title,youtube_channel,notes,source,recording_mbid
fezCVFzERac,All Of Me,Gerald Marks,Charlie Parker,"Bird's Eyes: Last Unissued, Vol. 14",1947,bebop quintet,https://www.youtube.com/watch?v=fezCVFzERac,All Of Me - Charlie Parker,NilTheHaze,Bebop benchmark performance,musicbrainz,da3aa5ff-577a-4714-9063-b34c233c57a2
_aXhDcKrMTA,All Of Me,Gerald Marks,Erroll Garner Trio,The Chronological Classics: Erroll Garner 1949,2000,piano trio,https://www.youtube.com/watch?v=_aXhDcKrMTA,"Erroll Garner Trio - All of Me / I Surrender, Dear",60otaku4,Distinctive Garner piano-trio version,musicbrainz,0b099ad7-5ce6-4972-951a-837a7f153a8c
96jO3y8TVn8,All Of Me,Gerald Marks,The Oscar Peterson Trio,1959,1994,piano trio,https://www.youtube.com/watch?v=96jO3y8TVn8,All Of Me,Oscar Peterson (The Estate of Oscar Peterson),Virtuosic trio with Ray Brown and Ed Thigpen,musicbrainz,0b483221-df4d-4896-a3a8-e73488a6da64
C43OA2qAAY4,All Of Me,Gerald Marks,Sarah Vaughan,Soft & Sassy,1993,vocal with orchestra,https://www.youtube.com/watch?v=C43OA2qAAY4,Sarah Vaughan   - All  of  Me -,mariabegonialopez,Rich vocal interpretation,musicbrainz,4750d177-7d24-464c-a511-b5a6cadf71ee
3vuUh86CMcI,All Of You,Cole Porter,Miles Davis Quintet,’Round About Midnight,1957,quintet,https://www.youtube.com/watch?v=3vuUh86CMcI,Miles Davis Quintet - All of You - 1964,Jazz story for you,"Landmark first great quintet rendition with Coltrane, the definitive jazz reading",musicbrainz,b2d096c1-8ccb-44cf-baf0-97e7fe0dc38e
2wabHrC2EAE,All Of You,Cole Porter,Bill Evans Trio,Sunday at the Village Vanguard,1961,piano trio,https://www.youtube.com/watch?v=2wabHrC2EAE,All Of You,Scott LaFaro - Topic,Iconic interplay with Scott LaFaro on bass,musicbrainz,94eb0b95-76db-48cb-a127-1100410e7fa0
ayVEhn_m418,All Of You,Cole Porter,Sonny Clark,Standards,1998,quintet,https://www.youtube.com/watch?v=ayVEhn_m418,All Of You,Sonny Clark - Topic,Hard-bop classic interpretation,musicbrainz,ce88748e-f312-4b20-8d2e-96c7906ae444
HSa_HuZG_d0,All Of You,Cole Porter,Ella Fitzgerald,Ella Fitzgerald Sings the Cole Porter Song Book (Volume I),1956,vocal with orchestra,https://www.youtube.com/watch?v=HSa_HuZG_d0,All Of You - Ella Fitzgerald,Michael C.,Definitive vocal from the Porter songbook,musicbrainz,c7703e71-1083-4271-a578-e533c4dc700e
7Xsrz1D4YAA,All Of You,Cole Porter,Sarah Vaughan,After Hours at the London House,1959,vocal with orchestra,https://www.youtube.com/watch?v=7Xsrz1D4YAA,Sarah Vaughan - All of You,Gustavo Morales Battaglini,"Lush, expressive vocal version",musicbrainz,6a2ec4bf-253b-45d3-aa4c-3250d56e0dea
vI7AqET-1Lo,All Of You,Cole Porter,The Ahmad Jamal Trio,The Complete 1961 Alhambra Performances,2013,piano trio,https://www.youtube.com/watch?v=vI7AqET-1Lo,Ahmad Jamal Trio - All of You (1955),Classic Mood Experience,"Spacious, swinging trio treatment",musicbrainz,115b280b-b49b-4b6e-b785-e24d82b41e7b
OawXYm6kca8,All Of You,Cole Porter,Wes Montgomery,Complete Live At Jorgies,1965,guitar quartet,https://www.youtube.com/watch?v=OawXYm6kca8,All of you - Wes Montgomery,maxadd1000,Warm octave-led guitar version,musicbrainz,87c99c6e-e32f-4cbf-b1e2-2fb5035a9f8f
HE4OlIXLZzU,All Of You,Cole Porter,"Keith Jarrett, Gary Peacock, Jack DeJohnette",Standards in Norway,1989,piano trio,https://www.youtube.com/watch?v=HE4OlIXLZzU,Keith Jarrett Trio - All of You,moom1000,Modern Standards Trio reinterpretation,musicbrainz,89d92006-8954-4827-a0e7-3487a76490d7
hqwMreEYUHw,All The Things You Are,Jerome Kern,"Charlie Parker, Dizzy Gillespie, Bud Powell, Max Roach, Charles Mingus","Charlie Parker Pour la postérité il restera l'""oiseau""",1996,quintet,https://www.youtube.com/watch?v=hqwMreEYUHw,"All the Things You Are (feat. Dizzy Gillespie, Bud Powell, Max Roach, Charles Mingus)",Charlie Parker,Legendary 'greatest jazz concert ever' bebop summit performance,musicbrainz,ca415ead-1fb5-43f2-9e76-558f8c78a9c2
ESjNt-V-zRI,All The Things You Are,Jerome Kern,Dizzy Gillespie,Yardbird Suite: The Ultimate Charlie Parker Collection,1997,sextet,https://www.youtube.com/watch?v=ESjNt-V-zRI,Dizzy Gillespie Sextet  - All The Things You Are,Classic Mood Experience,Seminal early bebop reading of the tune,musicbrainz,c3c669d5-4aff-4329-8d7e-0cd1b851c320
W78lMZqbq0w,All The Things You Are,Jerome Kern,Art Tatum,California Melodies,1994,solo piano,https://www.youtube.com/watch?v=W78lMZqbq0w,Art Tatum All the things you are (1953),Freddy Pérez Ortiz,Virtuosic solo piano reharmonization,musicbrainz,2add1cb8-4a47-456f-ba49-3229903da24c
UTORd2Y_X6U,All The Things You Are,Jerome Kern,Charlie Parker,Yardbird in Lotus Land,1976,quintet,https://www.youtube.com/watch?v=UTORd2Y_X6U,Charlie Parker - All the things you are,antonnio200,Bird's classic bebop interpretation,musicbrainz,c2d8497d-d078-45e9-92d2-86efe8b86b22
r5AQqDSiEws,All The Things You Are,Jerome Kern,Clifford Brown,The Complete Paris Sessions,1991,sextet,https://www.youtube.com/watch?v=r5AQqDSiEws,All the Things You Are,Clifford Brown - Topic,Brilliant Brownie/Gigi Gryce trumpet feature,musicbrainz,15d643d1-1258-427e-8a58-bb6a3a3315ef
_gnY-kK-Lbw,All The Things You Are,Jerome Kern,"Chet Baker, Stan Getz",My Funny Valentine,1997,quintet,https://www.youtube.com/watch?v=_gnY-kK-Lbw,"All The Things You Are (Live At The Tiffany Club, Los Angeles, CA., 1954)",Chet Baker,Cool-school cool jazz pairing,musicbrainz,9f0d7a44-9ce6-4f07-a766-06bd3f5f5000
RNMLDkSh_yc,All The Things You Are,Jerome Kern,The Modern Jazz Quartet,"The Encyclopedia of Jazz, Part 5/5: Modern Jazz - Cool Jazz",2008,vibraphone quartet,https://www.youtube.com/watch?v=RNMLDkSh_yc,The Modern Jazz Quartet - All The Things You Are,Jazz Everyday!,Refined chamber-jazz arrangement,musicbrainz,5072fd4d-dd7a-4c9a-bec4-e85d1ef17e5f
IRQe5aHvi8Y,All The Things You Are,Jerome Kern,Frank Sinatra,Mail Call,1992,vocal with orchestra,https://www.youtube.com/watch?v=IRQe5aHvi8Y,All The Things You Are (Album Version),Frank Sinatra,Definitive vocal ballad reading,musicbrainz,2750f43e-4c03-461b-8b8a-1997f1f02fbb
l9wsJYSPebw,Alone Together,Arthur Schwartz,Sonny Rollins,Sonny Rollins and the Contemporary Leaders,1988,saxophone with bass (duo/trio),https://www.youtube.com/watch?v=l9wsJYSPebw,Alone Together,Sonny Rollins,"Iconic tenor reading, harmonically searching",musicbrainz,ebc5a8ec-c667-4bbc-a8f1-f7b044e4a4c3
tFQazV00Y10,Alone Together,Arthur Schwartz,Eric Dolphy,Conversations,1963,quintet,https://www.youtube.com/watch?v=tFQazV00Y10,Alone Together (feat. Eric Dolphy) (Bonus Track),Miles Davis,"Adventurous bass clarinet feature, modern classic",musicbrainz,ff86f678-0ba8-4fb0-b0f6-1fd406305406
zdDhinO58ss,Alone Together,Arthur Schwartz,Chet Baker,"Chet in Paris, Volume 2",1988,trumpet quartet,https://www.youtube.com/watch?v=zdDhinO58ss,Chet Baker - Alone Together,FranciscoFreire100,"Lyrical, intimate West Coast interpretation",musicbrainz,c80ea4fa-bee5-48e0-bc83-c21a875c8dbd
w4kG5Nb8pQo,Alone Together,Arthur Schwartz,Bill Evans,The Complete Bill Evans on Verve,1997,piano trio,https://www.youtube.com/watch?v=w4kG5Nb8pQo,Chet Baker & Bill Evans - Alone together,The Pleasure of Jazz,"Reflective, harmonically rich trio version",musicbrainz,dbe5bf68-759a-4408-a6e6-365ac17e732a
N_o491zggDI,Alone Together,Arthur Schwartz,Dinah Washington & Clifford Brown,Brownie: The Complete EmArcy Recordings of Clifford Brown,1989,vocal with quintet,https://www.youtube.com/watch?v=N_o491zggDI,Ballad Medley: Alone Together / Summertime / Come Rain or Come Shine (feat. Dinah Washington)...,Clifford Brown - Topic,Definitive vocal pairing with Brownie's trumpet,musicbrainz,5732f6b4-7686-4dd0-a733-4c7a8545e5e0
cZW8hKHtI-k,Alone Together,Arthur Schwartz,Jimmy Raney & Doug Raney,Stolen Moments,1989,guitar duo,https://www.youtube.com/watch?v=cZW8hKHtI-k,Alone Together,Jimmy Raney - Topic,Elegant father-son guitar interplay,musicbrainz,b316ae8c-9442-4872-806c-47e95c80d154
mPPloWdLZbc,Alone Together,Arthur Schwartz,Keith Jarrett,"At the Blue Note: The Complete Recordings (disc 2: Friday, June 3rd 1994, 2nd Set)",1994,piano trio,https://www.youtube.com/watch?v=mPPloWdLZbc,Alone Together,Keith Jarrett,Standards Trio benchmark interpretation,musicbrainz,f8bd35ea-9a35-4a8e-8d27-db3f986a81bb
HdNZhPUV6lw,Alone Together,Arthur Schwartz,Milt Jackson,The Ballad Artistry of Milt Jackson,1960,vibraphone with ensemble,https://www.youtube.com/watch?v=HdNZhPUV6lw,Alone Together,Milt Jackson - Topic,Bluesy vibraphone-led take,musicbrainz,c3c35f21-4de3-48fc-b70f-e0b8df864236
L4WtYb04uUk,Angel Eyes,Matt Dennis,Frank Sinatra,Frank Sinatra Sings for Only the Lonely,1958,vocal with orchestra,https://www.youtube.com/watch?v=L4WtYb04uUk,Frank Sinatra with Nelson Riddle Orchestra - Angel Eyes,60otaku4,Definitive Sinatra/Nelson Riddle reading; the song's signature interpretation,musicbrainz,17519af4-19fb-4677-a93c-4ba29bab9248
mPDH6pSep44,Angel Eyes,Matt Dennis,Nat King Cole,Ballads of the Day,1956,vocal with orchestra,https://www.youtube.com/watch?v=mPDH6pSep44,Angel Eyes,Nat King Cole,"Intimate, masterful ballad vocal",musicbrainz,fc7f52ec-daae-48ac-a425-be9ccc1eaa92
NgXSU0gnxVA,Angel Eyes,Matt Dennis,Ella Fitzgerald,Les Trésors Du Jazz 1952,2003,vocal with orchestra,https://www.youtube.com/watch?v=NgXSU0gnxVA,Angel Eyes (feat. Sy Oliver and His Orchestra),Ella Fitzgerald,"Ella with Sy Oliver Orchestra, elegant phrasing",musicbrainz,1d87e0ee-1182-4258-b7aa-3c740f61d5e3
4TYgS1ApnUY,Angel Eyes,Matt Dennis,Art Pepper,Mosaic Select 15,2005,alto sax quartet,https://www.youtube.com/watch?v=4TYgS1ApnUY,Angel Eyes,Art Pepper,Lyrical West Coast alto sax instrumental,musicbrainz,15b2dc9e-9d41-4875-9c3d-4368123caae9
Dl_jQcTxVVA,Angel Eyes,Matt Dennis,The Modern Jazz Quartet,Fontessa,1956,piano quartet (vibes),https://www.youtube.com/watch?v=Dl_jQcTxVVA,The Modern Jazz Quartet - Angel Eyes,60otaku4,Refined chamber-jazz arrangement,musicbrainz,118bb89a-d08e-470c-b63b-b13e135b204a
iAxsy7s7Feg,Angel Eyes,Matt Dennis,Chet Baker,As Time Goes By,1990,trumpet/vocal with combo,https://www.youtube.com/watch?v=iAxsy7s7Feg,Chet Baker - Angel Eyes (Official Audio),Chet Baker,Wistful Baker trumpet and voice,musicbrainz,f0e3f129-e92a-466d-81fc-f9bac102197c
zk0Zd6IRmR0,Angel Eyes,Matt Dennis,"Tommy Flanagan, Ron Carter, Tony Williams",The Master Trio,1983,piano trio,https://www.youtube.com/watch?v=zk0Zd6IRmR0,Angel Eyes (Studio),Tommy Flanagan - Topic,Elegant master pianist trio reading,musicbrainz,ad0e9196-0fe9-4bf8-963c-5a6445247f78
XD2syevGP1o,Angel Eyes,Matt Dennis,"Wynton Marsalis, Art Blakey and The Jazz Messengers",Blakey's Theme,2001,quintet,https://www.youtube.com/watch?v=XD2syevGP1o,"Angel Eyes - Art Blakey & The Jazz Messengers feat. Winton Marsalis - live at ""Bubba's""",papy13770,Young Marsalis featured ballad with the Messengers,musicbrainz,bf4f945f-b768-45a3-8f60-7f0b9e71149f
tguu4m38U78,Autumn Leaves,Joseph Kosma,Cannonball Adderley,Somethin’ Else,1958,sextet,https://www.youtube.com/watch?v=tguu4m38U78,Cannonball Adderly & Miles Davis - Autumn Leaves,M0rganFReelance,Iconic Blue Note version with Miles Davis; the definitive jazz reading,musicbrainz,69c7f51f-10bf-44b1-a319-3c1fb60f538d
799HOVP4Ymo,Autumn Leaves,Joseph Kosma,Bill Evans Trio,I'd Love to Turn You On: Classical and Avant-Garde Music That Inspired the Counter-Culture,2020,piano trio,https://www.youtube.com/watch?v=799HOVP4Ymo,"Autumn Leaves (feat. Scott Lafaro, Paul Motian)",Bill Evans,Landmark interplay with Scott LaFaro and Paul Motian,musicbrainz,3c7b3f36-953f-4698-b8d1-dc8596217d7f
Z1_rFvM1G0Y,Autumn Leaves,Joseph Kosma,Miles Davis,"Miles Davis - In Person Friday And Saturday Nights At The Blackhawk, Complete",2003,sextet,https://www.youtube.com/watch?v=Z1_rFvM1G0Y,Autumn Leaves - Miles Davis,lasveleidadesdelser,Miles' own arrangement showcasing the modal cool aesthetic,musicbrainz,7b1c634c-1cb9-44b0-b78c-4bf76f3ec7a7
LJXW5eRSYQw,Autumn Leaves,Joseph Kosma,Erroll Garner,"The Encyclopedia of Jazz, Part 5/5: Modern Jazz - Cool Jazz",2008,piano trio,https://www.youtube.com/watch?v=LJXW5eRSYQw,The Erroll Garner Trio - Autumn Leaves (Piano Transcription),Daan Schreuder,"Exuberant live trio performance, hugely popular",musicbrainz,2c614aa6-556f-480c-a06f-e17386b55e8e
xnW9wNN_IVg,Autumn Leaves,Joseph Kosma,Ahmad Jamal Trio,Portfolio of Ahmad Jamal,1959,piano trio,https://www.youtube.com/watch?v=xnW9wNN_IVg,Ahmad Jamal - Autumn Leaves - Palais des Congrès Paris 2017 - LIVE HD,Zycopolis TV,"Spacious, influential trio interpretation",musicbrainz,4a684eac-7bb2-4be3-b1ce-15d7d6e6dcd5
YVedK1VUfLM,Autumn Leaves,Joseph Kosma,Nat King Cole,Sings for Two in Love,1955,vocal with orchestra,https://www.youtube.com/watch?v=YVedK1VUfLM,Autumn Leaves (Remastered),Nat King Cole,Classic popular vocal rendition of Mercer's English lyric,musicbrainz,13989e39-bb3b-4ae0-9804-34fb9a1bf9b7
zTVlrOk9a8M,Autumn Leaves,Joseph Kosma,Chet Baker,Feeling Swing - Cool Jazz,1998,vocal/trumpet with combo,https://www.youtube.com/watch?v=zTVlrOk9a8M,Autumn Leaves,Chet Baker,Wistful cool-school trumpet and vocal treatment,musicbrainz,baf0c05f-7637-4ed8-be1d-2c97a15b174d
YmqmdX9oCqo,Autumn Leaves,Joseph Kosma,Oscar Peterson Trio,At Baker’s Keyboard Lounge: The Complete Recordings,2026,piano trio,https://www.youtube.com/watch?v=YmqmdX9oCqo,Autumn Leaves,Oscar Peterson (The Estate of Oscar Peterson),Virtuosic swinging trio interpretation,musicbrainz,7cb14257-f325-4e6a-87dc-5e1b926a5be9
N7FHwhEKWsM,Bags Groove,Milt Jackson,Miles Davis,"The Encyclopedia of Jazz, Part 5/5: Modern Jazz - Cool Jazz",2008,quintet,https://www.youtube.com/watch?v=N7FHwhEKWsM,Bag's Groove,Miles Davis,"Landmark 1954 session with Milt Jackson, Monk, Heath, Clarke; the definitive recording",musicbrainz,4769c1a9-196a-4853-be9e-74da2a805d14
UGqr0RW0XMU,Bags Groove,Milt Jackson,Thelonious Monk,"The Smithsonian Collection of Classic Jazz, Volume 4",1987,quintet,https://www.youtube.com/watch?v=UGqr0RW0XMU,Bag’s Groove I,Thelonious Monk,Same iconic 1954 session highlighting Monk's comping and solo,musicbrainz,c4267824-c699-4c45-a06f-441a0b1fc7b9
78h5ppC6KYQ,Bags Groove,Milt Jackson,The Modern Jazz Quartet,The Modern Jazz Quartet,1957,piano quartet (vibes/piano/bass/drums),https://www.youtube.com/watch?v=78h5ppC6KYQ,Bags' Groove,The Modern Jazz Quartet - Topic,Definitive reading by composer Milt Jackson's own group,musicbrainz,1e37f8fb-c692-4a0d-b996-eb1bf7d6486c
vyTS7uzVM6A,Bags Groove,Milt Jackson,Milt Jackson,Wizard of the Vibes,1952,quintet,https://www.youtube.com/watch?v=vyTS7uzVM6A,Milt Jackson - Bag's Groove,cminor7add9th,Composer-led version showcasing the tune's blues roots,musicbrainz,c30717f8-9c15-4af7-afc8-7f7ef723aa8b
Vsdtve9LKFE,Bags Groove,Milt Jackson,Oscar Peterson Trio,Night Train,1963,piano trio,https://www.youtube.com/watch?v=Vsdtve9LKFE,Bag's Groove,Oscar Peterson (The Estate of Oscar Peterson),Swinging trio interpretation by a master pianist,musicbrainz,b2aa41e5-52fd-4d0f-9386-63f3c1eaaf0e
MiMLOc9h0RM,Bags Groove,Milt Jackson,Kenny Burrell,32 Live,1999,guitar quartet,https://www.youtube.com/watch?v=MiMLOc9h0RM,Bags' Groove,Kenny Burrell - Topic,Bluesy guitar-led version emphasizing the groove,musicbrainz,8315cd55-a7bb-4558-9410-eacb2cc26182
T6kuksmJX3w,Bags Groove,Milt Jackson,Sonny Clark,Oakland 1955,1995,quintet,https://www.youtube.com/watch?v=T6kuksmJX3w,Sonny Clark - Bag's Groove (Transcription),Stijn Wauters,Hard-bop reading with strong soloists,musicbrainz,bd5d62b1-2fd4-4de2-8052-a76214575c00
xJaVtn0LASY,Bags Groove,Milt Jackson,"Jim Hall, Bill Frisell",Hemispheres,2008,guitar duo,https://www.youtube.com/watch?v=xJaVtn0LASY,Jim Hall - Bag's Groove Transcription,Miguel Mateu Jazz Guitar,Modern guitar duo reinvention of the blues line,musicbrainz,1355ceda-a4c8-46ed-9b57-0bd862f36c6b
HVt4792iqcM,Billie's Bounce,Charlie Parker,Charlie Parker's Re-Boppers,Timeless Charlie Parker,2002,quintet,https://www.youtube.com/watch?v=HVt4792iqcM,Charlie Parker's Ree-Boppers - Billie's Bounce - 1945,Lars Bang Andersen,"The original 1945 Savoy recording with Miles Davis, the definitive version",musicbrainz,fbcfc05f-46b7-420f-a3f9-75c416752a25
C_GCdc_uL1c,Billie's Bounce,Charlie Parker,The Red Garland Quintet feat. John Coltrane,Dig It!,1962,quintet,https://www.youtube.com/watch?v=C_GCdc_uL1c,"The Red Garland Quintet, John Coltrane - Billie's Bounce",Jazz Everyday!,Hard-bop reading with Coltrane on tenor,musicbrainz,92dc3fff-aced-4805-82f2-43150075c8f6
A-tlMEMrK-4,Billie's Bounce,Charlie Parker,Stan Getz & J.J. Johnson,Jazz At The Philharmonic Set 1957,1991,quintet,https://www.youtube.com/watch?v=A-tlMEMrK-4,"Stan Getz, J.J Johnson - Billie's Bounce (Live)",Jazz Everyday!,Live tenor/trombone bebop dialogue,musicbrainz,a869bb0a-97cc-4a58-80df-d0383c757ea0
Gv4hS1W922E,Billie's Bounce,Charlie Parker,Wes Montgomery,The Best of Wes,1993,guitar combo,https://www.youtube.com/watch?v=Gv4hS1W922E,Wes Montgomery - Billie's Bounce,MartoJazz,Classic guitar interpretation,musicbrainz,16588f29-598c-4d26-8f1f-23740647275e
v-gBpgFD6bA,Billie's Bounce,Charlie Parker,Jimmy Smith,"Jimmy Smith at the Organ, Volume 2",1958,organ trio,https://www.youtube.com/watch?v=v-gBpgFD6bA,Billie's Bounce,Jimmy Smith - Topic,Hammond organ groove version,musicbrainz,7565b66c-c601-44c9-b61a-2e8d7dc9e852
jqlUwLp_hvI,Billie's Bounce,Charlie Parker,"Keith Jarrett, Gary Peacock, Jack DeJohnette",Still Live (disc 2),1986,piano trio,https://www.youtube.com/watch?v=jqlUwLp_hvI,Billie's Bounce,Keith Jarrett,Modern piano-trio standards-era reading,musicbrainz,ae2d0390-252f-4128-a831-91eb95c8f6d6
1Sy_cy6rQl8,Billie's Bounce,Charlie Parker,Dexter Gordon Quartet,Billie's Bounce,1983,tenor quartet,https://www.youtube.com/watch?v=1Sy_cy6rQl8,Billie's Bounce,Release - Topic,Robust hard-bop tenor version,musicbrainz,a07e6917-2fd0-4fae-9c5d-5cd5dd43ab39
0pLDFGGj3XY,Billie's Bounce,Charlie Parker,"Eddie ""Lockjaw"" Davis & Johnny Griffin",Live at Minton's,1998,two-tenor quintet,https://www.youtube.com/watch?v=0pLDFGGj3XY,Billie's Bounce,"Eddie ""Lockjaw"" Davis",Hard-swinging tenor battle,musicbrainz,dfd25133-b485-4379-9ddc-b22597d90b3e
